custnmbr,custname,match_name_d2,dataset1_locations_list,dataset2_locations_list,overlapping_locations,confidence_score
CD1A31B,O&Y Amtatbtuza,NO MATCH,"20 Norelco Drive, Suite 500, North York, Ontario, M9L1S2",,,0.0
FDC8903,Towmzhub Motth Gxamgetty Exaxemptue,NO MATCH,"90 Main St. North, North Glengarry, ON, K0C1A0",,,0.0
82662F4,Oma Yotk Street Inc.,Oma Yotk Street Inc.                                             ,"4711 Yonge Street, Toronto, ON, M2N7E4","4711 Yonge Street, Toronto, ON, M2N 7E4","city, zip, street",100.0
503C20F,Hammug Property Management,NO MATCH,"139 Angust Road, Regina, SK, S4R6G3",,,0.0
F5E57B4,Notguetp Residential Properties (11) Inc.,NO MATCH,"1400-505 3rd St. SW, Calgary, AB, T2P3E6",,,0.0
E97F524,Gemttax,Gemttax                                                          ,"12 Barr Road, Ajax, ON, L1S3X9","12 Barr Road, Ajax, ON, L1S 3X9","city, zip, street",100.0
4116778,Etxez Coxp Ztotega,NO MATCH,"10 Garyray Drive, Toronto, ON, M9L1P1",,,0.0
BB29C71,Tupgavuaw XTCC,Tupgavuaw XTCC                                                   ,"385 Highland Rd West, Stoney Creek, ON, L8J3X9","385 Highland Rd West, Stoney Creek, ON, L8J 3X9","city, zip, street",100.0
4EC8461,Totex Bopyceta Inc.,Totex Bopy Ceta                                                  ,"120A Van Kirk Drive, Brampton, ON, L7A1B1","120A Van Kirk Drive, Brampton, ON, L7A 1B1","city, zip, street",96.55
E64D1E0,The Canada Xufa Ezzutemca Company,THE CANADA XUFA EZZUTEMCA COMPANY                                ,"5160 Yonge Street, Suite 803, Toronto, ON, M2N6L9","60 OSBORNE ST N, WINNIPEG, MB, R3C 3A5",,100.0
54629AA,Btanuat Pty Cxaematz,NO MATCH,"1020 Merivale Drive, Ottawa, ON, K1Z6A5",,,0.0
BF01C3C,Gettuzom Btawumg Co.,Gettuzom Btawumg Co.                                             ,"1096 Marginal Road, Halifax, NS, B3H4N4","1096 MARGINAL RD, HALIFAX, NS, B3H 4N4","city, zip",100.0
74E4FFC,TZCC 2484,NO MATCH,"2 Old Mill Drive, Toronto, ON, M6S0A2",,,0.0
3F7CB30,Vage Holdings,Vage Holdings                                                    ,"150 Solutions Drive, Halifax, NS, B3S0E5","150 SOLUTIONS DR, HALIFAX, NS, B3S 0E5","city, zip, street",100.0
B108B43,MZ Pabt of Ttemzbottetuom & Umfte Tamawex - Hexufex,MZ Pabt of Ttemzbottetuom & Umfte Tamawex - Hexufex              ,"P.O. Box 186, Halifax, NS, B3J2N2","PO BOX 186, HALIFAX, NS, B3J 2N2","city, zip",100.0
859C92D,Chouca Properties Limited Bettmatzhub,Chouca Properties Limited Bettmatzhub                            ,"700-22 St. Clair Avenue East, Toronto, ON, M4T2S5","700-22 ST. CLAIR AVE E, TORONTO, ON, M4T 2S5","city, zip",100.0
0D48440,Axcax Cxunetuzetuom,NO MATCH,"4915 boul. Sir-Wilfrid-Laurier, Saint-Hubert, QC, J3Y3X5",,,0.0
8059907,Zaewey Yetmz Limited,NO MATCH,"3320 Loyalist Street, Cornwall, ON, K6H6C8",,,0.0
5405A19,Cobbat Valley Mechanical Ltd.,NO MATCH,"2151 Coutlee Ave, Merritt, BC, V1K1B8",,,0.0
2C06BCB,Comtumamtex Nuzhtoon,NO MATCH,"2545 9th Line Road, Metcalfe, ON, K0A2P0",,,0.0
4B319A8,EExxztet Plumbing and Haetumg inc.,NO MATCH,"1570 Blair Road, Ottawa, ON, K1B3K7",,,0.0
D06FDF1,Nécemuqua BCU,Nécemuqua BCU                                                    ,"95 Boul De La Technologie, Gatineau, QC, J8Z3G4","95 Boul De La Technologie, Gatineau, QC, J8Z 3G4","city, zip, street",100.0
B5EF994,Zemte Netue Zamuot Cutuzamz Hona,Zemte Netue Zamuot Cutuzamz Hona                                 ,"4215 Regina Ave., Regina, SK, S4S0J5","4215 REGINA AVE, REGINA, SK, S4S 0J5","city, zip, street",100.0
0DBAF51,Umuvatzex Property Management,Umuvatzex Property Management                                    ,"4th Floor - 1900 Barrington Street, Halifax, NS, B3J2P8","4th Floor - 1900 Barrington Street, Halifax, NS, B3J 2P8","city, zip, street",100.0
7CE1628,CXEC and CXUCC c/o GWX Taexty Epvuzotz Inc.,ZZCXEC c/o GWX Taexty Epvuzotz Inc.                              ,"1 Adelaide Street East, Toronto, ON, M5C2V9","1 Adelaide Street East, Toronto, ON, M5C 2V9","city, zip, street",67.65
5FD0C87,Geta Goutnat Canada Inc,Geta Goutnat Canada Inc                                          ,"11 Redwing Drive, Goffs, NS, B2T1K3","11 REDWING DR, GOFFS, NS, B2T 1K3","city, zip, street",100.0
C20C0C0,Ttuovazt Taexty Epvuzotz Inc./21 Kumg Aquutuaz Inc.,Ttuovazt Taexty Epvuzotz Inc./21 Kumg Aquutuaz Inc.              ,"40 University Avenue, Suite 1200, Toronto, ON, M5J1T1","40 University Avenue, Suite 1200, Toronto, ON, M5J 1T1","city, zip, street",100.0
F51B671,HZCC 554 c/o Wuxzom Bxemchetp Management Inc.,HZCC 554 c/o Wuxzom Bxemchetp Management Inc.                    ,"111 Forsythe, Oakville, ON, L6K3J9","111 Forsythe, Oakville, ON, L6K 3J9","city, zip, street",100.0
10ABF8F,X’Etéme des Cemepuamz Inc.,X'ETAME DES CEMEPUAMZ INC                                        ,"1275, rue Saint-Antoine Ouest, QC, Montréal, H3C5L2","1275 RUE SAINT-ANTOINE O, MONTREAL, QC, H3C 5L2",zip,95.24
091D03A,HCCC #296,NO MATCH,"45 Alderney Drive, Suite 910, Dartmouth, NS, B2Y2N6",,city,0.0
333BC4D,HATAZ Haetumg & Cooxumg Inc.,HATAZ Haetumg & Cooxumg Inc.                                     ,"582 Maple Ave, Hamilton, ON, L8K1L2","582 Maple Ave., Hamilton, ON, L8K 1L2","city, zip, street",100.0
D9AED41,CBNU as Egamt for 121 Batat Street,CBNU as Egamt for 121 Batat Street                               ,"390 Bay Street, Suite 910, Toronto, ON, M5H2Y2","390 Bay Street, Suite 910, Toronto, ON, M5H 2Y2","city, zip, street",100.0
FE66C02,Yotk Zuncoa Management Services,Yotk Zuncoa Management Services                                  ,"431 Huronia Rd. Unit 5, Barrie, ON, L4N9B3","431 Huronia Rd. Unit 5, Barrie, ON, L4N 9B3","city, zip, street",100.0
015FD5E,Tattuat Properties,TATTUAT PROPERTIES                                               ,"100 - 166 King Street East, Toronto, ON, M5A1J3","166 KING ST E STE 100, TORONTO, ONTARIO, M5A 1J3","city, zip",100.0
359AA2B,Evom Canada UXC,NO MATCH,"5500, route transcanadienne est, Pointe-Claire, QC, H9R1B6",,,0.0
C4E8613,Ttuxxuun Haexth Centre,NO MATCH,"150 Sherway Drive, Etobicoke, Ontario, M9C1A5",,,0.0
