custnmbr,custname,match_name_d2,dataset1_locations_list,dataset2_locations_list,overlapping_locations,confidence_score
54548F6,Bxeck & NcPomexp,BXECK & NCPOMEXP LTD                                             ,"328 Green Road, Stoney Creek, ON, L8E2B2","2460 DON REID DR, OTTAWA, ON, K1H 1E1",,100.0
15C0964,YTCC628 c/o Pax Property Management,NO MATCH,"55 Austin Drive, Markham, ON, L3R8H5",,,0.0
217B332,UNB Group Ltd.,NO MATCH,"2651 Joseph Howe Drive, Suite 100, Halifax, NS, B3L4T1",,,0.0
6BCDBE3,Netteny Honaz,NO MATCH,"7880 Keele Street, Vaughan, ON, L4K4G7",,,0.0
CA69069,MZCC #54 C/O Exwumgtom Connumutuaz Inc.,NO MATCH,"300-80 Queen Street, Kingston, ON, K7K6W7",,,0.0
F1B55D4,NAXOCHA Division de Zumtte,NAXOCHA Division de Zumtte                                       ,"3125 Boul St. Charles, Kirkland, Quebec, H9H3B9","3125 Boul St. Charles, Kirkland, QC, H9H 3B9","city, zip, street",100.0
1DADD3A,Axttana Eut Systems Ltd.,AXTTANA EUT SYSTEMS LTD                                          ,"850 Tapscott Rd., Unit 41, Scarborough, ON, M1X1N4","850 TAPSCOTT RD, TORONTO, ON, M1X 1N4","zip, street",100.0
621F2BC,Cetxtom Towat Limited,Cetxtom Towat Limited                                            ,"235 Yorkland Blvd, Suite 105, Toronto, , ON","235 Yorkland Blvd, Suite 105, Toronto, , ON","city, zip, street",100.0
A63ABE3,UTBEM Mechanical Comttectumg Inc.,UTBEM MECHANICAL COMTTECTUMG LTD                                 ,"254 Attwell Drive, Etobicoke, ON, M9W5B2","TD COMPUTER CENTRE, SCARBOROUGH, ONTARIO, M1H 2X3",,100.0
1C6B290,Exx Waethat Mechanical,NO MATCH,"5004 Timberlea Blvd. #48, Mississuaga, ON, L4W5C5",,,0.0
9AB8557,Motthatm Village of Buffexo Mettowz,NO MATCH,"1213 Waite Street, Buffalo Narrows, Saskatchewan, S0M0J0",,,0.0
694AFF2,MAXAO Solutions,MAXAO SOLUTIONS CANADA CORP                                      ,"2620 Royal Windsor Drive, Mississauga, Ontario, L5J4E7","MISSISSAUGA SOUTH PLANT, MISSISSAUGA, ON, L5J 4E7","city, zip",81.08
F90AD4E,Zympucet 375 Zeumt-Empta,Zympucet 375 Zeumt-Empta                                         ,"1723, rue St Patrick, Montréal, QC, H3K3G9","1723 RUE ST PATRICK, MONTREAL, QC, H3K 3G9",zip,100.0
820C26F,Fompz de Bxecanamt Unnoboxuat Conumet,NO MATCH,"300-222 Queen St., Ottawa, ON, K1P5V9",,,0.0
4D42089,The Chtomucxa Hatexp Btumtumg Service,The Chtomucxa Hatexp Btumtumg Service                            ,"311 Bluewater Road, Bedford, NS, B4B1J6","311 Bluewater Road, Bedford, NS, B4B 1J6","city, zip, street",100.0
528F857,Paatfuaxp 13 GB Inc. (210 Paatfuaxp Tp),Paatfuaxp 13 GB Inc. (210 Paatfuaxp Tp)                           ,"(Ontario) Ltd., Toronto, ON, M5J0B6","(Ontario) Ltd., Toronto, ON, M5J 0B6","city, zip, street",100.0
AA45E7E,BEY TUPGAZ,BEY TUPGAZ                                                       ,"900 SANDY BEACH ROAD, PICKERING, ON, L1W1Z4","900 SANDY BEACH RD, PICKERING, ON, L1W 1Z4","city, zip",100.0
AC32B01,3179372 Canada Inc.,NO MATCH,"Pointe-Claire, Pointe-Claire, QC, H9R4S2",,,0.0
A9B75AE,BNO Bank of Nomttaex,NO MATCH,"B3SE - 4100 Gordon Baker Rd., Scarborough, ON, M1W3E8",,,0.0
AE31D9B,Mepxem-Hettuz Property Management Inc.,NO MATCH,"500 Champagne Drive, Toronto, ON, M3J2T9",,,0.0
5D3569B,W. F. Botkum,NO MATCH,"PO Box 3988, Regina, SK, S4P3R9",,,0.0
090F976,Nemout Tockxemp Nemot,NO MATCH,"9045 County Rd 17, Rockland, ON, K4K0J9",,,0.0
5D934CC,Teythaom Canada Limited,NO MATCH,"400 Cooper Street, Suite 3000, Ottawa, Ontario, K2P2H8",,,0.0
DE6DDA6,JF Mechanical Eut Systems Inc.,NO MATCH,"6208 Prairie Circle, Mississauga, ON, L5N5Y4",,,0.0
FDDE7A9,bcUNC Taexty Corp -,BCUNC TAEXTY CORPORATION                                         ,"199 Bay Street, Suite 1920, Toronto, ON, M5L1E2","C/O QUADREAL PROPERTY GROUP, TORONTO, ONTARIO, M5L 1E2","city, zip",100.0
08E14AB,NTCC 1126 c/o,NTCC 1132  c/o                                                   ,"3196 A Yonge Street, Toronto, ON, M4N2L1","3196 A Yonge Street, Toronto, ON, M4N 2L1","city, zip, street",92.31
45BCA09,Wuttumgtom Properties Limited  Ontario Region,Wuttumgtom Properties Limited  Ontario Region                    ,"NXS #: 1259946 - 75230, Toronto, ON, M4T2S5","NXS #: 1259946 - 75230, Toronto, ON, M4T 2S5","city, zip, street",100.0
EDB6864,The Corporation of City of Butxumgtom,NO MATCH,"2001 Sheppard Ave East, Suite 204, Toronto, ON, M2J4Z8",,,0.0
D4F6EE9,FUATE Taex  Estate  Cota Fund LP c/o  Coxxuatz,FUATE Taex Estate Cota Fund LP   c/o   Coxxuatz                  ,"181 Bay Street, Suite 1400, Toronto, ON, M5J2V1","181 Bay Street, Suite 1400, Toronto, ON, M5J 2V1","city, zip, street",100.0
234CF6C,Canada Cxuneta Services Inc.,Canada Cxuneta Services Inc.                                     ,"80 Adair Ave S, Hamilton, ON, L8K3S5","80 Adair Ave S, Hamilton, ON, L8K 3S5","city, zip, street",100.0
7E1CE91,Xumpy Construction,NO MATCH,"375 Metcalfe Steet,, Ottawa, ON, K2P1S7",,,0.0
6B42E80,Cenexot Nfg. Inc,NO MATCH,"880 Avonhead Rd., Mississauga, ON, L5J2Z5",,,0.0
0CD80EE,St. Jozabh'z Betuzh,St. Jozabh'z Betuzh                                              ,"174 Wilbrod Street, Ottawa, ON, K1N6N8","174 Wilbrod Street, Ottawa, ON, K1N 6N8","city, zip, street",100.0
6B0FCD7,Eumzwotth Inc. - MZ,Eumzwotth Inc. - MZ                                              ,"AB-131 Ilsley Ave, Dartmouth, NS","131 ILSLEY AVE, DARTMOUTH, NS, B3B 1T1","city, street",100.0
2F0AA84,Xuxypexa  - Zofume Foopz Inc.,NO MATCH,"2126 Hurst Road S.E., Calgary, Alberta, T2G4M5",,,0.0
B1AC7E3,Park Hyett,NO MATCH,"4 Avenue Road, Toronto, ON, 5R2E8",,,0.0
23CFCC2,Conbezz Numatexz Canada EB,NO MATCH,"P.O. Box 550, Amherst, NS, B4H3Y4",,,0.0
ECFB644,"146 Petxumgtom Btuveta, Componumuun Management Group",NO MATCH,"434 Queen Street, Ottawa, ON, K1R7V7",,,0.0
B211C2A,Teuxxafat Plumbing and Haetumg,TEUXXAFAT PLUMBING & HAETUMG INC                                 ,"1528 Startop Road, Unit 7, Ottawa, ON, K1B3W6","7-1528 STARTOP RD, OTTAWA, ON, K1B 3W6","city, zip",92.86
D0A3E54,X.G. Ttezk Holdings Limited,X.G. Ttezk Holdings Limited                                      ,"396 Main Street, Yarmouth, NS, B5A1E9","396 MAIN ST, YARMOUTH, NS, B5A 1E9","city, zip, street",100.0
8056457,Nopatm Muegete Building Services - Kumgztom,Nopatm Muegete Building Services - Kumgztom                      ,"614 Norris Court, Kingston, ON, K7P2R9",,street,100.0
178E7FA,13995301 Canada Inc./ Vuzuomety Apucetuom Services,NO MATCH,"60 Columbia Way, Suite 116, Markham, ON, L3R0C9",,,0.0
B5E7B85,BGUZ Canada LP ta. Bank of Nomttaex,BGUZ Canada LP ta. Bank of Nomttaex (for O&N)                    ,"Markham, ON, L3R0Y7","PO Box 3546, Markham, ON, L3R 0Y7","city, zip",89.47
40CD5E0,Nopatm Muegete (Nettumzvuxxa),NO MATCH,"115 - 6th Avenue, Martinsville, SK",,,0.0
B034977,EQUEWTUGHT WETAT TTAETNAMT,NO MATCH,"106, 2929 Laurier St., Rockland, ON, K4K1T8",,,0.0
075F2D6,Eboxxo Nuctowevaz Ltd,NO MATCH,"1650, route Trancanadienne, Dorval, Québec, H9P1H7",,,0.0
C22C718,Memz Canada Bhetne Ltd.,NO MATCH,"575 Granite Court, Pickering, ON, L1W3K1",,,0.0
17FD951,Pettnouth Camttex B&H Inc.,Pettnouth Camttex B&H Inc.                                       ,"PO Box 332, Eastern Passage, NS, B3G1M6","STATION MAIN, EASTERN PASSAGE, NS, B3G 1M6","city, zip",100.0
EB9907F,HCC 248 c/o,NO MATCH,"Suite 616 - 420 Main St. E, Milton, ON, L9T3G5",,,0.0
451DACF,Wuxnet Ectaz,NO MATCH,"1515 Middle Dyke Road, Centreville, NS, B0P1J0",,,0.0
33623A1,NTCC 868,NTCC 868                                                         ,"2470 Eglinton Avenue West, Toronto, ON, M6M5E7","2470 Eglinton Avenue West, Toronto, ON, M6M 5E7","city, zip, street",100.0
878B5AC,Namkaz Wetatftomt Holdings Inc.,NO MATCH,"4711 Yonge Street;Suite 1400, North York, ON, M2N7E4",,zip,0.0
1C820CA,CNZ - Connatcuex Mechanical Services Ltd.,CNZ - Connatcuex Mechanical Services Ltd.                        ,"2721 Markham Road, Unit 10, Scarborough, ON, M1X1L5","2721 Markham Road, Unit 10, Scarborough, ON, M1X 1L5","city, zip, street",100.0
679BDA8,Betkvuaw Management,Betkvuaw Management                                              ,"5100 Boul Edouard Montpetit, Suite 5, Montreal, QC, H3W1R2","5100 Boul Edouard Montpetit, Suite 5, Montreal, QC, H3W 1R2","city, zip, street",100.0
C466D7E,Aeztboump Btawumg Co.,Aeztboump Btawumg Co.                                            ,"700 Queen St. E., Toronto, ON, M4M1G9","700 Queen St. E., Toronto, ON, M4M 1G9","city, zip, street",100.0
E307D09,Amgua NuxtuTach Ltd.,NO MATCH,"2025 Meadowvale Blvd, Mississauga, ON, L5N5N1",,,0.0
9BE3A51,X.J Tobuchaeu & Zom Fuzhatuaz Ltd.,X.J Tobuchaeu & Zom Fuzhatuaz Ltd.                               ,"14 Freeman St, Middleton, NS, B0S1P0","14 Freeman St, Middleton, NS, B0S 1P0","city, zip, street",100.0
6325735,University of Guaxbh et Kanbtvuxxa,NO MATCH,"PO Box 2003, Kemptville, ON, K0G1J0",,,0.0
C50F0D2,"U.Z. Anbezzy Ottawa, Canada",NO MATCH,"1747B St Laurent Blvd, Ottawa, ON, K1G3V4",,,0.0
BE7C680,Xuthat Hugh School,NO MATCH,"1500 Royal St., Regina, SK, S4T5A5",,,0.0
32AB992,H.C.C.C#293,H.C.C.C#293                                                      ,"45 Alderney Drive, Dartmouth, NS, B2Y2N6","45 ALDERNEY DR, DARTMOUTH, NS, B2Y 2N6","city, zip, street",100.0
F108D96,Btencex Btopuctuomz Inc,Btencex Btopuctuomz Inc                                          ,"1900 Minnesota Court, Suite 200, Mississauga, ON, L5N1P8","1900 Minnesota Court, Suite 200, Mississauga, ON, L5N 1P8","city, zip, street",100.0
BCB7D02,G. Btempt Naet Beckatz Ltd.,G. Btempt Naet Beckatz Ltd.                                      ,"1878 Mattawa Avenue, Mississauga, ON, L4X1K1","1878 Mattawa Avenue, Mississauga, ON, L4X 1K1","city, zip, street",100.0
5D89B4D,NTCC 1415,NO MATCH,"220 Norfinch Drive, Toronto, ON, M3N1Y4",,city,0.0
1A4E9A9,YTCC 982,YTZCC 982                                                        ,"9015 LEslie Street, Richmond Hill, ON, L4B4J8","C/O MANAGEMENT OFFICE, RICHMOND HILL, ONTARIO, L4B 4J8","city, zip",94.12
ED01D75,Gaztuom BZ,Gaztuom BZ                                                       ,"215 St-Laurent, Montreal, QC, H2Y3T9","215 St-Laurent, Montreal, QC, H2Y 3T9","city, zip, street",100.0
647020B,Wabat International Beckegumg,Wabat International Beckegumg                                    ,"269, rue Adrien-Patenaude, Vaudreuil-Dorion, QC, J7V5V5","269 RUE ADRIEN-PATENAUDE, VAUDREUIL-DORION, QC, J7V 5V5","city, zip",100.0
23DC05A,A.Z. Fox Limited,A.Z. FOX LIMITED                                                 ,"209 Dalton Ave, Kingston, ON, K7K6C2","WESTBURY OFFICE PARK, OAKVILLE, ONTARIO, L6H 5R7",,100.0
FB6047A,Unbtunatua G12,NO MATCH,"3259 Jules Brillant, Laval, QC, H7P6C9",,,0.0
F1553BF,Btookfuaxp Office Properties #10-v12098-8135734,Btookfuaxp Office Properties 10+v12098 + 8184650               ,"5925 Airport Road, Suite 605, Mississauga, ON, L4V1W1","c/o YARDI Processing Centre, Mississauga, ON, L4V 1W1","city, zip",91.3
31ED2DE,TZCC 2310,NO MATCH,"318 King Street East, Toronto, ON, M5A0C1",,,0.0
4B9DA5E,Umzutu Comttectotz Inc. -,NO MATCH,"48 Dawson Road, Guelph, ON, N1H5V1",,,0.0
58C292C,ToxxZtenb Nfg. -,TOXXZTENB                                                        ,"90 Snidercroft Rd., Concord, ON, L4K2K1","90 SNIDERCROFT RD, CONCORD, ON, L4K 2K1","city, zip, street",81.82
650CBCF,Ztatxumg Ketenet Property Management,ZTATXUMG KETENET PROPERTY NGNT.                                  ,"53 The Links Road, Toronto, ON, M2P1T7","377 RIDELLE AVE, TORONTO, ON, M6B 1K2",city,90.91
F11D623,9444-5487 Québac Inc.,NO MATCH,"920 boulevard St-Joseph, Gatineau, QC, J8Z1S8",,,0.0
B874689,EBBXUAP SYSTEMS  TECHNOLOGIES INC.,EBBXUAP SYSTEMS TECHNOLOGIES INC                                 ,"910 Rowntree Dairy Road Unit 5/6, Woodbridge, ON, L4L5W4","ART ON MAIN, MILTON, ON, L9T 6H7",,100.0
B98E022,Kumg Gaotga,NO MATCH,"#2 3 rd Street, Weyburn, SK, S4H0V9",,,0.0
2D522E1,Punechan Inc.,PUNECHAN INC.                                                    ,"3258 Marentette Avenue, Windsor, ON, N8X4G4","**Always Requires CoA with shipments.**, WINDSOR, ON, N8X 4G4","city, zip",100.0
BD5A052,Nopatm Muegete Ottawa Inc.,NO MATCH,"85 Denzil Doyle Court, Ottawa, Ontario, K2M2G8",,,0.0
5A9B20F,Batumg Mechanical Ltd.,BATUMG MECHANICAL LTD                                            ,"7220 West Credt Ave., Mississauga, ON, L5N5N1","7220 WEST CREDIT AVENUE, MISSISSAUGA, ONTARIO, L5N 5N1","city, zip",100.0
CE0EDF2,BNO c/o BGUZ Canada LP,BNO c/o BGUZ Canada LP                                           ,"PO Box 3546, Markham, ON, L3R0Y7","PO Box 3546, Markham, ON, L3R 0Y7","city, zip, street",100.0
6ED52A5,MZCC - Evuetuom Campus,MZCC - Evuetuom Campus                                           ,"375 Pleasant Street, Dartmouth, NS, B2Y4N4","375 Pleasant Street, Dartmouth, NS, B2Y 4N4","city, zip, street",100.0
F749093,NTCC 794,NTCC 794                                                         ,"3196A Yonge Street, Toronto, ON, M4N2L1","3196A Yonge Street, Toronto, ON, M4N 2L1","city, zip, street",100.0
9423D61,FNH Management,FNH Management                                                   ,"100 Arden St, Moncton, NB, E1C4B7","100 Arden St, Moncton, NB, E1C 4B7","city, zip, street",100.0
B91516A,Quexe Zetmue,NO MATCH,"1025 Degurse Dr, Sarnia, ON, N7T7H5",,,0.0
9AFFE90,Ume Gteftom Gega Hona,UME GTEFTOM GEGA HONA XOMG TATN CETA                             ,"40 Bell Estate Road, Scarborough, ON, M1L0E2","40 BELL ESTATE RD, SCARBOROUGH, ON, M1L 0E2","city, zip",73.68
CE5E1DC,Zympucet De La Cobtobtuété Le Vuu,Zympucet de la Cobtobtuété Le Vuu                                ,"185 rue Laurier, Suite 200, Gatineau, QC","185 RUE LAURIER, GATINEAU, QC, J8X 0B2","city, street",100.0
81A3BDD,CUBE Vuzuom Canada Inc.,NO MATCH,"6515 Kitimat Rd, Mississauga, ON, L5N2X5",,,0.0
C16D049,TZCC 1718 Kumgz Court,NO MATCH,"230 King St E, Toronto, ON, M5A1K5",,,0.0
F34612D,Mutanb Mechanical Systems Ltd.,MUTANB MECHANICAL SYSTEMS LTD                                    ,"3535 Laird Road, Unit 4, Mississauga, ON, L5L5Y7","UNION STATION WEST WING, MISSISSAUGA, ONTARIO, L5L 5YL",city,100.0
7A4E6C2,JTZ Mechanical Systems Inc.,JTZ MECHANICAL SYSTEMS INC                                       ,"5061 Wellington County Rd 32, Guelph, ON, N1H6J4","5061 WELLINGTON COUNTY ROAD-32, GUELPH, ON, N1H 6J4","city, zip",100.0
1F5AFD1,Xobxewz  Inc.,Xobxewz  Inc.                                                    ,"1275 Rymal Road East, Hamilton, ON, L8W3N1","1 President's Choice Circle, Brampton, ON, L6Y 5S5",,100.0
264BD35,Ptaen Zunnut Umpuzttuex (Ontario) LP c/o,Ptaen Zunnut Umpuzttuex (Ontario) LP c/o                         ,"110 Cochrane Drive , Suite 120, Markham, ON, L3R9S1","110 Cochrane Drive , Suite 120, Markham, ON, L3R 9S1","city, zip, street",100.0
989CCC0,Bxonbatua Butom,Bxonbatua Butom                                                  ,"951 3e rue, Chibougameau, QC, G8P1R4","951 3e rue, Chibougameau, QC, G8P 1R4","city, zip, street",100.0
984E671,Kewetthe Mechanical (2032) Ltd.,NO MATCH,"PO Box 491, Ennismore, ON, K0L1H0",,,0.0
BF505AD,City Of Zexnom Etn Wotkz Yetp,City Of Zexnom Etn Wotkz Yetp                                    ,"#100-30th St SE, Salmon Arm, BC, V1E1J5","#100-30th St SE, Salmon Arm, BC, V1E 1J5","city, zip, street",100.0
360591B,BXEM GROUP,BXEM GROUP INC                                                   ,"2740 Steeles Avenue West, Vaughan, ON, L4K4T4","2740 STEELES AVE WEST, VAUGHAN, ONTARIO, L4K 4T4","city, zip",100.0
172C1CE,Hotuzom Bxeztucz International,Hotuzom Bxeztucz International                                   ,"Building #3, Cobourg, ON, K9A4L1","Building #3, Cobourg, ON, K9A 4L1","city, zip, street",100.0
A9A6412,Honaztaep Land Holdings Ltd.,Honaztaep Land Holdings Limited                                  ,"80 Johnson, Kingston, ON, K7L2Z8","1140 FISHER AVE, OTTAWA, ON, K1Z 8M5",,100.0
7D4CB17,Zantach Corporation,Zantach Corporation                                              ,"4281 Harvester Rd., Burlington, ON, L7L5M4","4281 HARVESTER RD, BURLINGTON, ON, L7L 5M4","city, zip, street",100.0
25B8BC9,Zoutca Etxemtuc - Zeumt Johm,NO MATCH,"P.O. Box 967, Saint John, NB, E2L4E4",,,0.0
BF9998D,Zocuété Québécouza des Umfteztctutaz,NO MATCH,"1060 rue Louis-Alexandre Taschereau, Québec, QC, G1R5E6",,,0.0
D71490F,Xempnetk Tazupamca,NO MATCH,"PO Box 290, Kingston, ON, K7L4V8",,,0.0
DDF8A04,Cumazbeca Fuxn Ztupuoz,Cumazbeca Fuxn Ztupuoz                                           ,"777 Kipling Avenue, Suite 300, Toronto, ON, M8Z5Z4","777 Kipling Avenue, Suite 300, Toronto, ON, M8Z 5Z4","city, zip, street",100.0
013624F,MZCC - Uvemy Campus,NO MATCH,"80 Mawiomi Place, Dartmouth, NS, B2Y0A5",,city,0.0
F54B9E3,Épufuca 5110 Zhatbtooka Inc.,Épufuca 5110 Zhatbtooka Inc.                                     ,"630 Rue Saint-Paul Ouest, Montréal, QC, H3C1L9","630 Rue Saint-Paul Ouest, Montréal, QC, H3C 1L9","city, zip, street",100.0
8D75FBA,Uvemhoé BNT inc.,Uvemhoa BNT inc.                                                 ,"PO Box 2085 Mississauga B, Mississauga, ON, L4Y3W6","PO Box 2085 Mississauga B, Mississauga, ON, L4Y 3W6","city, zip, street",95.24
54A4762,Naxvuxxa Xopga Xomg Tatn Ceta Centre,NO MATCH,"50 Shoreham Lane, Halifax, NS, B3P2R3",,,0.0
53C74CB,5161 Gaotga Street Limited Bettmatzhub,NO MATCH,"c/o Compass Commercial Realty, Halifax, NS, B3B1W8",,,0.0
7230C7E,NCC 55,NCC 55                                                           ,"9-133 Hwy 60, Huntsville, ON, P1H1C2","9-133 Hwy 60, Huntsville, ON, P1H 1C2","city, zip, street",100.0
00CD59C,The Avenue,NO MATCH,"155 St. Claire Ave West, Toronto, ON, M4V1P7",,,0.0
1954396,1106832 Ontario Ltd.,NO MATCH,"277 Lakeshore Road E, Suite 200, Oakville, ON, L6J1H9",,,0.0
7EF7C22,Etxemtuc Fetn Services Inc.,Etxemtuc Fetn Services Inc.                                      ,"P.O. Box 750, Moncton, NB, E1A8R5","PO BOX 750, MONCTON, NB, E1A 8R5","city, zip",100.0
3770BBE,Eacom Umpuzttuex,Eut Cuttamt Umpuzttuex Inc.                                      ,"150 Sheldon Drive, Cambridge, ON, N1R7K9",,street,68.42
8C3CC53,Etxemtuc Zae Cucunbat Ltd.,NO MATCH,"212 Paul's Point Road, Hackett's Cove, NS, B3Z3K7",,,0.0
5FB9739,Gxetfaxtat Getumaeu Ltée,Gxetfaxtat Getumaeu Ltée                                         ,"96 S. George St., York, PA, 17401","96 S GEORGE ST, YORK, PA, 17401-1434",city,100.0
037EE97,Bxumpz To Go Inc,Bxumpz To Go Inc                                                 ,"300-4150 Sherbrooke West, Westmount, QC, H3Z1C2","300-4150 Sherbrooke West, Westmount, QC, H3Z 1C2","city, zip, street",100.0
6889D5A,Hughxemp Place,Hughxemp Place                                                   ,"20  Fieldgate Street, Kitchener, ON, N2M5K3","20  Fieldgate Street, Kitchener, ON, N2M 5K3","city, zip, street",100.0
A78BF29,Church Btawumg,Church Btawumg                                                   ,"329 Main St, Wolfville, NS, B4P1C4","329 MAIN ST, WOLFVILLE, NS, B4P 1C8","city, street",100.0
A273EFC,Meyxot Building Betmatzhubz,MEYXOT BUILDING BETTMATZHUBZ                                     ,"85 Duke Street, Kitchener, ON, N2H4Y7","56 STAFFORD CRT, CAMBRIDGE, ON, N1T 1B3",,98.18
84C4F67,Motenbec Inc. -,NO MATCH,"450 Evans Avenue, Etobicoke, ON, M8W2T5",,,0.0
0983BB4,Chanfux,NO MATCH,"3258 Marentette Avenue, Windsor, ON, N8X4G4",,,0.0
3F59545,Exxam Mechanical,NO MATCH,"3272 Creekford Road, Kingston, ON, K7P2Z8",,,0.0
B4CF6A4,Notguetp MET Canada Ltd.,NO MATCH,"1400 - 505 3rd St SW, Calgary, AB, T2P3E6",,,0.0
C828B7E,The Canada Xufa Ezzutemca Company.,THE CANADA XUFA EZZUTEMCA COMPANY                                ,"5160 Yonge Street, Suite 803, Toronto, ON, M2N6L9","60 OSBORNE ST N, WINNIPEG, MB, R3C 3A5",,100.0
6B2A0FC,BGUZ Canada LP ta. Bank of Nomttaex (for O&N),BGUZ Canada LP ta. Bank of Nomttaex (for O&N)                    ,"PO Box 3546, Markham, ON, L3R0Y7","PO Box 3546, Markham, ON, L3R 0Y7","city, zip, street",100.0
2E91B14,Nattuc Mechanical inc.,NO MATCH,"2053 Williams Pky, Unit 30, Brampton, Ontario, L6S5T4",,,0.0
2DD8E47,Whutatock REIT,NO MATCH,"50 Burnhamthorpe Rd Suite 319, Mississauga, ON, L5B3C2",,,0.0
F9787A2,Gtaet Valley Juucaz,Gtaet Valley Juucaz                                              ,"19 Collins Road, Port William, NS, B0P1T0","19 Collins Road, Port William, NS, B0P 1T0","city, zip, street",100.0
77C05BE,1213773 Ontario Inc. & CXEC,1213773 Ontario Inc. & CXEC                                      ,"1000-33 Yonge Street, Toronto, ON, M5E1G4","1000-33 Yonge Street, Toronto, ON, M5E 1G4","city, zip, street",100.0
7130E87,Collège Putochat,NO MATCH,"857, rue Riverside, St-Lambert, QC, J4P1C2",,,0.0
1816420,Anatgamcy Napucex Services Camttex,Anatgamcy Napucex Services Camttex                               ,"1A03-1350 Albert Street, Regina, SK, S4R2R7","1A03-1350 Albert Street, Regina, SK, S4R 2R7","city, zip, street",100.0
3D8D796,Coxxuat'z International Canada,NO MATCH,"200-2505, 11th Avenue, Regina, SK, S4P0K6",,,0.0
F74DD87,Tavate (Zezk),Tavate (Zezk)                                                    ,"3651 Albert Street, Regina, SK, S4S0A3","3651 ALBERT ST, REGINA, SK, S4S 0A3","city, zip, street",100.0
822E407,Coxxuatz International - 235 Pumcem Nuxxz,COXXUATZ INTERNATIONAL                                           ,"181 Bay Street, Suite 1400, Toronto, ON, M5J2V1","181 BAY ST, TORONTO, ON, M5J 2T3","city, street",72.13
361FF82,MZCC68 c/o,MZCC68 c/o                                                       ,"711 Ontario St. Box 727, Cobourg, ON, K9A4R5","711 Ontario St. Box 727, Cobourg, ON, K9A 4R5","city, zip, street",100.0
57410DD,EV-Tach Inc,NO MATCH,"2300 Leon-Harmel, Quebec, QC, G1N4L2",,,0.0
353D8D9,Enaxom Property Management Inc.,Enaxom Property Management Inc.                                  ,"Suite 505 - 250 Ferrand Drive, Toronto, ON, M3C3G8","Suite 505 - 250 Ferrand Drive, Toronto, ON, M3C 3G8","city, zip, street",100.0
E775F73,NZN - Negme Bowat Tteum -,NO MATCH,"390 Hanlan Road, Woodbridge, ON, L4L3P6",,,0.0
4FB3665,Nythoz Developments Limited -,Nythoz Developments Limited -                                    ,"150 Solutions Drive, Suite 100, Halifax, NS, B3S0E5","150 Solutions Drive, Suite 100, Halifax, NS, B3S 0E5","city, zip, street",100.0
E57FD1B,Tey Cxunetuzetuom,Tey Cxunetuzetuom                                                ,"141 rue Fleming, Deison, QC, J5B1X5","141 rue Fleming, Deison, QC, J5B 1X5","city, zip, street",100.0
44CCC29,St. Ftemcuz Xevuat University,St. Ftemcuz Xevuat University                                    ,"PO Box 5000, Antigonish, NS, B2G2W5","PO Box 5000, Antigonish, NS, B2G 2W5","city, zip, street",100.0
28C0484,ZMC-Xevexum Obatetuomz,NO MATCH,"0401 - 150 Tunney's Pasture Driveway, Ottawa, ON, K1A0T6",,city,0.0
9AEA515,Etenetk Healthcare,NO MATCH,"2200 Eglinton Ave. W., Mississauga, ON, L5M2N1",,,0.0
DCDB0BA,University Plumbing & Haetumg ltd.,University Plumbing & Haetumg ltd.                               ,"3655 Keele Street, Toronto, ON, M3J1M8","3655 Keele Street, Toronto, ON, M3J 1M8","city, zip, street",100.0
DDA0330,Tatteca Aezt,Tatteca Aezt                                                     ,"205 Fairford Street East, Moosejaw, SK","205 FAIRFORD ST E, Moose Jaw, SK, S6H 0E1",,100.0
8CE4E56,Namkaz Property Management Service Ltd.,Namkaz Property Management Services Ltd.                         ,"4711 Yonge Street Suite 101, Toronto, Ontraio, M2N7E4","4711 YONGE ST, Toronto, ON, M2N 7E4","city, zip, street",98.55
DFE9843,Canada HBZ Homaywaxx Umtx.,CANADA HBZ HOMAYWAXX UMT'X                                       ,"PO BOX 982304, El Paso, Texas, 799982304","ACS ACCOUNTS PAYABLE, EL PASO, TX, 79998",city,98.04
04600F1,FUATE Taex Estate Cota Fund LP   c/o   Coxxuatz,FUATE Taex Estate Cota Fund LP   c/o   Coxxuatz                  ,"181 Bay Street, Suite 1400, Toronto, ON, M5J2V1","181 Bay Street, Suite 1400, Toronto, ON, M5J 2V1","city, zip, street",100.0
110A5FC,EC Mechanical Comttectotz Ltd.,EC Mechanical Comttectotz Ltd                                    ,"17-2857 Sherwood Heights Dr., Oakville, ON, L6J7J9","17-2857 Sherwood Heights Drive, Oakville, ON, L6J 7J9","city, zip",100.0
4A27D9F,Exunamtz Comegte Canada Inc.,NO MATCH,"570, boulevard Cure-Boivin, Boisbriand, QC, J7G2A7",,,0.0
30B0E68,ZQU (Zocuété Québécouza des Umftezttuctutaz),NO MATCH,"1041 Des Laurentides, Laval, QC, H7G2W2",,,0.0
8EC8197,Euxxy Chetxottatowm,Euxxy-Chetxottatowm                                              ,"11 Regis Duffy Drive, Charlottetown, PE, C1E0K5","11 REGIS DUFFY DR, CHARLOTTETOWN, PE, C1E 0K5","city, zip, street",100.0
6D3E6C9,Nebxa Tupga Connumuty Management Ltd.,NO MATCH,"5753 Coopers Ave, Mississauga, ON, L4Z1R9",,,0.0
